20260804|||||
|Homens||Mulheres||Total PF
Ano|Qtd|%|Qtd|%|Qtd
2026|4822375|73.36|1751481|26.64|6573856
2025|4622233|74.13|1612682|25.87|6234915
2024|4479420|74.27|1552001|25.73|6031421
2023|4311129|75.17|1424322|24.83|5735451
2022|4505153|77.05|1342010|22.95|5847163
2021|3822139|76.81|1154014|23.19|4976153
2020|2385136|73.76|848591|26.24|3233727
2019|1277604|76.67|388724|23.33|1666328
2018|634413|77.94|179561|22.06|813974
2017|478408|77.12|141905|22.88|620313
2016|434142|76.90|130387|23.10|564529
*Posição em 31/07/2026|||||
